Nome,Seeders,Leechers,Tipo
 Game.of.Thrones.S07E07.WEB.H264-STRiFE,481,31,1
 Game.of.Thrones.S07E07.WEB.H264-STRiFE,500,37,1
 Game.of.Thrones.S07E07.WEB.H264-STRiFE,388,25,1
 Game.of.Thrones.S07E07.WEB.H264-STRiFE,395,29,1
 Game.of.Thrones.S07E07.WEB.H264-STRiFE,425,34,1
 Game.of.Thrones.S07E07.WEB.H264-STRiFE,388,25,1
 Game.of.Thrones.S07E07.WEB.H264-STRiFE,425,38,1
 Game.of.Thrones.S07E07.WEB.H264-STRiFE,388,25,1
 Game.of.Thrones.S07E07.WEB.H264-STRiFE,375,34,1
 Girls.Trip.2017.720p.WEB-DL.950MB.MkvCage,1173,462,1
 Girls.Trip.2017.720p.WEB-DL.950MB.MkvCage,772,105,1
 Girls.Trip.2017.720p.WEB-DL.950MB.MkvCage,597,75,1
 Girls.Trip.2017.720p.WEB-DL.950MB.MkvCage,601,78,1
 Girls.Trip.2017.720p.WEB-DL.950MB.MkvCage,474,55,1
 M.F.A.2017.720p.WEB-DL.750MB.MkvCage,350,164,1
 Marvels Daredevil S02 Season 2 Complete 720p WEBRip x265 AAC E-,321,83,1
 Marvels Daredevil S02 Season 2 Complete 720p WEBRip x265 AAC E-,287,77,1
 Marvels Daredevil S02 Season 2 Complete 720p WEBRip x265 AAC E-,277,56,1
 Marvels Daredevil S02 Season 2 Complete 720p WEBRip x265 AAC E-,269,61,1
 Marvels.The.Defenders.S01E05.720p.WEBRip.x264-STRiFE,470,90,1
 Marvels.The.Defenders.S01E07.720p.WEBRip.x264-STRiFE,774,136,1
 Marvels.The.Defenders.S01E07.720p.WEBRip.x264-STRiFE,610,97,1
 Marvels.The.Defenders.S01E07.720p.WEBRip.x264-STRiFE,535,78,1
 Marvels.The.Defenders.S01E07.720p.WEBRip.x264-STRiFE,579,71,1
 Marvels.The.Defenders.S01E07.720p.WEBRip.x264-STRiFE,459,58,1
 Marvels.The.Defenders.S01E07.720p.WEBRip.x264-STRiFE,441,51,1
 Marvels.The.Defenders.S01E07.720p.WEBRip.x264-STRiFE,459,32,1
 Marvels.The.Defenders.S01E07.720p.WEBRip.x264-STRiFE,415,32,1
 Marvels.The.Defenders.S01E07.720p.WEBRip.x264-STRiFE,297,24,1
 Mr.Mercedes.S01E06.HDTV.x264.[Season.1.Episode.6],1063,98,1
 Mr.Mercedes.S01E06.HDTV.x264.[Season.1.Episode.6],923,54,1
 Mr.Mercedes.S01E06.HDTV.x264.[Season.1.Episode.6],878,68,1
 Mr.Mercedes.S01E06.HDTV.x264.[Season.1.Episode.6],749,34,1
 Mr.Mercedes.S01E06.HDTV.x264.[Season.1.Episode.6],635,30,1
 Mr.Mercedes.S01E06.HDTV.x264.[Season.1.Episode.6],588,21,1
 Mr.Mercedes.S01E06.HDTV.x264.[Season.1.Episode.6],457,16,1
 Mr.Mercedes.S01E06.HDTV.x264.[Season.1.Episode.6],464,18,1
