Nome,seeders,leechers
 Game.of.Thrones.S07E07.WEB.H264-STRiFE,388,25
 Game.of.Thrones.S07E07.WEB.H264-STRiFE,375,34
 Girls.Trip.2017.720p.WEB-DL.950MB.MkvCage,1173,462
 Girls.Trip.2017.720p.WEB-DL.950MB.MkvCage,772,105
 Girls.Trip.2017.720p.WEB-DL.950MB.MkvCage,597,75
 Girls.Trip.2017.720p.WEB-DL.950MB.MkvCage,601,78
 Girls.Trip.2017.720p.WEB-DL.950MB.MkvCage,474,55
 M.F.A.2017.720p.WEB-DL.750MB.MkvCage,350,164
 Marvels Daredevil S02 Season 2 Complete 720p WEBRip x265 AAC E-,321,83
 Marvels Daredevil S02 Season 2 Complete 720p WEBRip x265 AAC E-,287,77
 Marvels Daredevil S02 Season 2 Complete 720p WEBRip x265 AAC E-,277,56
 Marvels Daredevil S02 Season 2 Complete 720p WEBRip x265 AAC E-,269,61
 Marvels.The.Defenders.S01E05.720p.WEBRip.x264-STRiFE,470,90
 Marvels.The.Defenders.S01E07.720p.WEBRip.x264-STRiFE,774,136
 Marvels.The.Defenders.S01E07.720p.WEBRip.x264-STRiFE,610,97
 Marvels.The.Defenders.S01E07.720p.WEBRip.x264-STRiFE,535,78
 Marvels.The.Defenders.S01E07.720p.WEBRip.x264-STRiFE,579,71
 Marvels.The.Defenders.S01E07.720p.WEBRip.x264-STRiFE,459,58
 Marvels.The.Defenders.S01E07.720p.WEBRip.x264-STRiFE,441,51
 Marvels.The.Defenders.S01E07.720p.WEBRip.x264-STRiFE,459,32
 Marvels.The.Defenders.S01E07.720p.WEBRip.x264-STRiFE,415,32
 Marvels.The.Defenders.S01E07.720p.WEBRip.x264-STRiFE,297,24
 Mr.Mercedes.S01E06.HDTV.x264.[Season.1.Episode.6],1063,98
 Mr.Mercedes.S01E06.HDTV.x264.[Season.1.Episode.6],923,54
 Mr.Mercedes.S01E06.HDTV.x264.[Season.1.Episode.6],878,68
 Mr.Mercedes.S01E06.HDTV.x264.[Season.1.Episode.6],749,34
 Mr.Mercedes.S01E06.HDTV.x264.[Season.1.Episode.6],635,30
 Mr.Mercedes.S01E06.HDTV.x264.[Season.1.Episode.6],588,21
 Mr.Mercedes.S01E06.HDTV.x264.[Season.1.Episode.6],457,16
 Mr.Mercedes.S01E06.HDTV.x264.[Season.1.Episode.6],464,18
 Mr.Mercedes.S01E06.HDTV.x264.[Season.1.Episode.6],452,21
 Mr.Mercedes.S01E06.HDTV.x264.[Season.1.Episode.6],447,13
 Mr.Mercedes.S01E06.HDTV.x264.[Season.1.Episode.6],471,21
 Mr.Mercedes.S01E06.HDTV.x264.[Season.1.Episode.6],378,7
 Mr.Mercedes.S01E06.HDTV.x264.[Season.1.Episode.6],364,8
 Mr.Mercedes.S01E06.HDTV.x264.[Season.1.Episode.6],413,16
 Mr.Mercedes.S01E06.HDTV.x264.[Season.1.Episode.6],350,12
 Mr.Mercedes.S01E06.HDTV.x264.[Season.1.Episode.6],378,7
 Mr.Mercedes.S01E06.HDTV.x264.[Season.1.Episode.6],378,7
 Mr.Mercedes.S01E07.HDTV.x264.[Season.1.Episode.7],919,83
 Mr.Mercedes.S01E07.HDTV.x264.[Season.1.Episode.7],671,53
 Mr.Mercedes.S01E07.HDTV.x264.[Season.1.Episode.7],548,54
 Mr.Mercedes.S01E07.HDTV.x264.[Season.1.Episode.7],523,39
 Mr.Mercedes.S01E07.HDTV.x264.[Season.1.Episode.7],547,31
 Mr.Mercedes.S01E07.HDTV.x264.[Season.1.Episode.7],468,32
 Mr.Mercedes.S01E07.HDTV.x264.[Season.1.Episode.7],526,45
 Mr.Mercedes.S01E07.HDTV.x264.[Season.1.Episode.7],350,16
 Mr.Mercedes.S01E07.HDTV.x264.[Season.1.Episode.7],390,24
 Mr.Mercedes.S01E07.HDTV.x264.[Season.1.Episode.7],390,24
 Mr.Mercedes.S01E07.HDTV.x264.[Season.1.Episode.7],390,24
 Mr.Mercedes.S01E07.HDTV.x264.[Season.1.Episode.7],347,22
 Our.Souls.At.Night.2017.720p.WEBRip.800MB.MkvCage,323,133
 Shooter S02E05 HDTV x264-SVA,1197,108
 Shooter S02E05 HDTV x264-SVA,1078,100
 Shooter S02E05 HDTV x264-SVA,1190,133
 Shooter S02E05 HDTV x264-SVA,1094,118
 Shooter S02E05 HDTV x264-SVA,912,92
 Shooter S02E05 HDTV x264-SVA,908,80
 Shooter S02E05 HDTV x264-SVA,789,62
 Shooter S02E05 HDTV x264-SVA,680,81
 Shooter S02E05 HDTV x264-SVA,771,56
 Shooter S02E05 HDTV x264-SVA,652,62
 Shooter S02E05 HDTV x264-SVA,637,59
 Shooter S02E05 HDTV x264-SVA,726,61
 Shooter S02E05 HDTV x264-SVA,626,51
 Shooter S02E05 HDTV x264-SVA,594,48
 Shooter S02E05 HDTV x264-SVA,654,53
 Shooter S02E05 HDTV x264-SVA,547,38
 Shooter S02E05 HDTV x264-SVA,610,40
 Shooter S02E05 HDTV x264-SVA,459,39
 Shooter S02E05 HDTV x264-SVA,546,20
 Shooter S02E05 HDTV x264-SVA,540,43
 Shooter S02E05 HDTV x264-SVA,498,35
 Shooter S02E05 HDTV x264-SVA,460,32
 The.Dark.Tower.2017.720p.BRRip.900MB.MkvCage,3577,1841
 The.Dark.Tower.2017.720p.BRRip.900MB.MkvCage,3656,1752
 The.Dark.Tower.2017.720p.BRRip.900MB.MkvCage,2437,478
 The.Dark.Tower.2017.720p.BRRip.900MB.MkvCage,2072,358
 The.Dark.Tower.2017.720p.BRRip.900MB.MkvCage,1996,277
 The.Dark.Tower.2017.720p.BRRip.900MB.MkvCage,1887,279
 The.Dark.Tower.2017.720p.BRRip.900MB.MkvCage,278,27
 The.Dark.Tower.2017.720p.BRRip.900MB.MkvCage,235,17
 The.Flash.2014.S04E01.720p.HDTV.​X264-DIMENSION,2172,568
 The.Flash.2014.S04E01.720p.HDTV.​X264-DIMENSION,1974,470
 The.Flash.2014.S04E01.720p.HDTV.​X264-DIMENSION,1679,392
 The.Flash.2014.S04E01.720p.HDTV.​X264-DIMENSION,1334,244
 The.Meyerowitz.Stories.New.and.Selected.2017.720p.NF.WEB-DL.900,378,206
 The.Meyerowitz.Stories.New.and.Selected.2017.720p.NF.WEB-DL.900,365,82
 The.Meyerowitz.Stories.New.and.Selected.2017.720p.NF.WEB-DL.900,289,73
 Transformers The Last Knight 2017 720p HC H264 Webrip,659,453
 Transformers The Last Knight 2017 720p HC H264 Webrip,491,194
 War.for.the.Planet.of.the.Apes.2017.1080p.HC.HDRip.MkvCage,2439,1456
 War.for.the.Planet.of.the.Apes.2017.1080p.HC.HDRip.MkvCage,1940,477
 War.for.the.Planet.of.the.Apes.2017.1080p.HC.HDRip.MkvCage,1143,131
 War.for.the.Planet.of.the.Apes.2017.1080p.HC.HDRip.MkvCage,1040,93
 War.for.the.Planet.of.the.Apes.2017.1080p.HC.HDRip.MkvCage,982,109
 War.for.the.Planet.of.the.Apes.2017.1080p.HC.HDRip.MkvCage,996,144
 War.for.the.Planet.of.the.Apes.2017.1080p.HC.HDRip.MkvCage,983,120
 War.for.the.Planet.of.the.Apes.2017.1080p.HC.HDRip.MkvCage,836,107
 War.For.The.Planet.Of.The.Apes.2017.720p.HC.HDRip.MkvCage,1072,1400
 War.For.The.Planet.Of.The.Apes.2017.720p.HC.HDRip.MkvCage,5477,2537
 War.For.The.Planet.Of.The.Apes.2017.720p.HC.HDRip.MkvCage,6381,2971
 War.For.The.Planet.Of.The.Apes.2017.720p.HC.HDRip.MkvCage,6019,1521
 War.For.The.Planet.Of.The.Apes.2017.720p.HC.HDRip.MkvCage,5356,1235
 War.For.The.Planet.Of.The.Apes.2017.720p.HC.HDRip.MkvCage,3754,501
 War.For.The.Planet.Of.The.Apes.2017.720p.HC.HDRip.MkvCage,3834,516
 War.For.The.Planet.Of.The.Apes.2017.720p.HC.HDRip.MkvCage,3678,460
 War.For.The.Planet.Of.The.Apes.2017.720p.HC.HDRip.MkvCage,669,123
 War.For.The.Planet.Of.The.Apes.2017.720p.HDRip.KORSUB,1315,1151
 Wind River 2017.HC.1080p.HDRip.MkvCage,550,250
 Wind River 2017.HC.1080p.HDRip.MkvCage,537,138
 Wind River 2017.HC.1080p.HDRip.MkvCage,453,247
 Wind River 2017.HC.1080p.HDRip.MkvCage,367,59
 Wind River 2017.HC.1080p.HDRip.MkvCage,408,101
 Wind River 2017.HC.1080p.HDRip.MkvCage,453,247
 Wind River 2017.HC.1080p.HDRip.MkvCage,321,40
-= Les Profs 2 French DVDRip 2015 - DeGun TPB =-,514,8
-= Les Profs 2 French DVDRip 2015 - DeGun TPB =-,533,4
-= Les Profs 2 French DVDRip 2015 - DeGun TPB =-,521,8
-= Les Profs 2 French DVDRip 2015 - DeGun TPB =-,502,10
-= Les Profs 2 French DVDRip 2015 - DeGun TPB =-,534,3
-= Les Profs 2 French DVDRip 2015 - DeGun TPB =-,456,8
-= Les Profs 2 French DVDRip 2015 - DeGun TPB =-,528,4
-= Les Profs 2 French DVDRip 2015 - DeGun TPB =-,529,9
-= Les Profs 2 French DVDRip 2015 - DeGun TPB =-,481,6
-= Les Profs 2 French DVDRip 2015 - DeGun TPB =-,523,10
-= Les Profs 2 French DVDRip 2015 - DeGun TPB =-,574,4
-= Les Profs 2 French DVDRip 2015 - DeGun TPB =-,567,9
-= Les Profs 2 French DVDRip 2015 - DeGun TPB =-,401,3
-= Les Profs 2 French DVDRip 2015 - DeGun TPB =-,582,5
-= Les Profs 2 French DVDRip 2015 - DeGun TPB =-,534,8
-= Les Profs 2 French DVDRip 2015 - DeGun TPB =-,592,5
-= Les Profs 2 French DVDRip 2015 - DeGun TPB =-,404,7
-= Les Profs 2 French DVDRip 2015 - DeGun TPB =-,567,5
-= Les Profs 2 French DVDRip 2015 - DeGun TPB =-,558,4
-= Les Profs 2 French DVDRip 2015 - DeGun TPB =-,508,3
-= Les Profs 2 French DVDRip 2015 - DeGun TPB =-,512,2
-= Les Profs 2 French DVDRip 2015 - DeGun TPB =-,538,2
-= Les Profs 2 French DVDRip 2015 - DeGun TPB =-,464,3
-= Les Profs 2 French DVDRip 2015 - DeGun TPB =-,425,2
-= Les Profs 2 French DVDRip 2015 - DeGun TPB =-,482,7
-= Les Profs 2 French DVDRip 2015 - DeGun TPB =-,536,6
-= Les Profs 2 French DVDRip 2015 - DeGun TPB =-,538,4
-= Les Profs 2 French DVDRip 2015 - DeGun TPB =-,440,1
-= Les Profs 2 French DVDRip 2015 - DeGun TPB =-,475,9
-= Les Profs 2 French DVDRip 2015 - DeGun TPB =-,333,3
-= Les Profs 2 French DVDRip 2015 - DeGun TPB =-,492,3
-= Les Profs 2 French DVDRip 2015 - DeGun TPB =-,457,3
-= Les Profs 2 French DVDRip 2015 - DeGun TPB =-,333,3
-= Les Profs 2 French DVDRip 2015 - DeGun TPB =-,529,5
[HorribleSubs] Boku no Hero Academia - 24 [720p],282,3
[HorribleSubs] Boku no Hero Academia - 24 [720p],259,5
[HorribleSubs] Boku no Hero Academia - 24 [720p],175,5
[HorribleSubs] Shingeki no Kyojin S2 - 32 [720p].mkv,189,3
[HorribleSubs] Shingeki no Kyojin S2 - 33 [720p].mkv,273,7
[HorribleSubs] Shingeki no Kyojin S2 - 33 [720p].mkv,220,3
[HorribleSubs] Shingeki no Kyojin S2 - 33 [720p].mkv,189,1
[HorribleSubs] Shingeki no Kyojin S2 - 34 [1080p].mkv,233,2
[HorribleSubs] Shingeki no Kyojin S2 - 34 [1080p].mkv,253,2
[HorribleSubs] Shingeki no Kyojin S2 - 34 [720p].mkv,241,3
[HorribleSubs] Shingeki no Kyojin S2 - 34 [720p].mkv,187,2
[HorribleSubs] Shingeki no Kyojin S2 - 35 [1080p].mkv,239,4
[HorribleSubs] Shingeki no Kyojin S2 - 35 [1080p].mkv,247,7
[HorribleSubs] Shingeki no Kyojin S2 - 35 [1080p].mkv,254,3
[HorribleSubs] Shingeki no Kyojin S2 - 35 [1080p].mkv,222,4
[HorribleSubs] Shingeki no Kyojin S2 - 36 [1080p].mkv,189,5
[HorribleSubs] Shingeki no Kyojin S2 - 36 [720p].mkv,286,1
