The One with Rachel's Other Sister,2045,8.8,S9,8
The One with Rachel's Phone Number,1672,8.2,S9,9
The One with Christmas in Tulsa,1744,7.7,S9,10
The One Where Rachel Goes Back to Work,1616,8.1,S9,11
The One with Phoebe's Rats,1689,8.1,S9,12
The One Where Monica Sings,1684,8.3,S9,13
The One with the Blind Dates,1646,8.3,S9,14
The One with the Mugging,1680,8.5,S9,15
The One with the Boob Job,1602,8.3,S9,16
The One with the Memorial Service,1683,8.6,S9,17
The One with the Lottery,1710,8.7,S9,18
The One with Rachel's Dream,1604,8.3,S9,19
The One with the Soap Opera Party,1616,8.4,S9,20
The One with the Fertility Test,1580,8.3,S9,21
The One with the Donor,1635,7.9,S9,22
The One in Barbados: Part 1,1670,8.5,S9,23
The One in Barbados: Part 2,1730,8.7,S9,24
The One After Joey and Rachel Kiss,1940,8.6,S10,1
The One Where Ross Is Fine,2101,8.8,S10,2
The One with Ross's Tan,2054,8.8,S10,3
The One with the Cake,1726,8.4,S10,4
The One Where Rachel's Sister Babysits,1744,8.3,S10,5
The One with Ross' Grant,1768,8.3,S10,6
The One with the Home Study,1668,8.4,S10,7
The One with the Late Thanksgiving,2056,8.9,S10,8
The One with the Birth Mother,1754,8.6,S10,9
The One Where Chandler Gets Caught,1685,8.1,S10,10
The One Where the Stripper Cries,2321,9.0,S10,11
The One with Phoebe's Wedding,1937,8.9,S10,12
The One Where Joey Speaks French,1893,8.6,S10,13
The One with Princess Consuela,1899,8.7,S10,14
The One Where Estelle Dies,1726,8.6,S10,15
The One with Rachel's Going Away Party,1936,8.9,S10,16
The Last One: Part 1,4185,9.5,S10,17
The Last One: Part 2,6861,9.7,S10,18
